DATE,DGS5
2015-06-30,1.63
2015-07-01,1.7
2015-07-02,1.64
2015-07-03,
2015-07-06,1.56
2015-07-07,1.55
2015-07-08,1.5
2015-07-09,1.58
2015-07-10,1.68
2015-07-13,1.71
2015-07-14,1.67
2015-07-15,1.63
2015-07-16,1.66
2015-07-17,1.67
2015-07-20,1.72
2015-07-21,1.69
2015-07-22,1.69
2015-07-23,1.65
2015-07-24,1.64
2015-07-27,1.58
2015-07-28,1.61
2015-07-29,1.62
2015-07-30,1.62
2015-07-31,1.54
2015-08-03,1.52
2015-08-04,1.6
2015-08-05,1.65
2015-08-06,1.62
2015-08-07,1.59
2015-08-10,1.62
2015-08-11,1.53
2015-08-12,1.52
2015-08-13,1.58
2015-08-14,1.61
2015-08-17,1.58
2015-08-18,1.6
2015-08-19,1.5
2015-08-20,1.5
2015-08-21,1.44
2015-08-24,1.39
2015-08-25,1.48
2015-08-26,1.49
2015-08-27,1.49
2015-08-28,1.52
2015-08-31,1.54
2015-09-01,1.49
2015-09-02,1.52
2015-09-03,1.49
2015-09-04,1.47
2015-09-07,
2015-09-08,1.53
2015-09-09,1.53
2015-09-10,1.55
2015-09-11,1.52
2015-09-14,1.51
2015-09-15,1.61
2015-09-16,1.62
2015-09-17,1.5
2015-09-18,1.45
2015-09-21,1.51
2015-09-22,1.44
2015-09-23,1.47
2015-09-24,1.44
2015-09-25,1.48
2015-09-28,1.42
2015-09-29,1.37
2015-09-30,1.37
2015-10-01,1.37
2015-10-02,1.29
2015-10-05,1.35
2015-10-06,1.34
2015-10-07,1.37
2015-10-08,1.4
2015-10-09,1.41
2015-10-12,
2015-10-13,1.36
2015-10-14,1.29
2015-10-15,1.34
2015-10-16,1.36
2015-10-19,1.35
2015-10-20,1.4
2015-10-21,1.37
2015-10-22,1.36
2015-10-23,1.43
2015-10-26,1.41
2015-10-27,1.38
2015-10-28,1.47
2015-10-29,1.53
2015-10-30,1.52
2015-11-02,1.57
2015-11-03,1.59
2015-11-04,1.64
2015-11-05,1.65
2015-11-06,1.73
2015-11-09,1.75
2015-11-10,1.72
2015-11-11,
2015-11-12,1.73
2015-11-13,1.67
2015-11-16,1.66
2015-11-17,1.66
2015-11-18,1.69
2015-11-19,1.68
2015-11-20,1.7
2015-11-23,1.7
2015-11-24,1.66
2015-11-25,1.66
2015-11-26,
2015-11-27,1.64
2015-11-30,1.65
2015-12-01,1.59
2015-12-02,1.63
2015-12-03,1.74
2015-12-04,1.71
2015-12-07,1.67
2015-12-08,1.68
2015-12-09,1.64
2015-12-10,1.68
2015-12-11,1.56
2015-12-14,1.66
2015-12-15,1.71
2015-12-16,1.75
2015-12-17,1.73
2015-12-18,1.67
2015-12-21,1.67
2015-12-22,1.71
2015-12-23,1.74
2015-12-24,1.73
2015-12-25,
2015-12-28,1.73
2015-12-29,1.81
2015-12-30,1.8
2015-12-31,1.76
2016-01-01,
2016-01-04,1.73
2016-01-05,1.73
2016-01-06,1.65
2016-01-07,1.61
2016-01-08,1.57
2016-01-11,1.58
2016-01-12,1.55
2016-01-13,1.51
2016-01-14,1.52
2016-01-15,1.46
2016-01-18,
2016-01-19,1.49
2016-01-20,1.44
2016-01-21,1.44
2016-01-22,1.49
2016-01-25,1.47
2016-01-26,1.45
2016-01-27,1.43
2016-01-28,1.4
2016-01-29,1.33
2016-02-01,1.38
